statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2021;DLAND;Bundesländer;07;Rheinland-Pfalz;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;5,2;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2019;DLAND;Bundesländer;14;Sachsen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO06;Frauen;5,0;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2017;DLAND;Bundesländer;15;Sachsen-Anhalt;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;9,5;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2020;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO06;Frauen;6,9;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2017;DLAND;Bundesländer;05;Nordrhein-Westfalen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;7,6;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2018;DLAND;Bundesländer;06;Hessen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO06;Frauen;4,5;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2020;DLAND;Bundesländer;05;Nordrhein-Westfalen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;6,4;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2022;DLAND;Bundesländer;04;Bremen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO06;Frauen;10,0;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2024;DLAND;Bundesländer;14;Sachsen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO06;Frauen;6,2;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2024;DLAND;Bundesländer;06;Hessen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;5,4;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
